COD_PROC_URG|CPCU_CENTRO_CODIGO|CPCU_ACTIVO
33.33|002083|0
33.34|002083|0
33.39|002083|0
33.4|002083|0
33.41|002083|0
33.42|002083|0
33.43|002083|0
33.48|002083|0
33.49|002083|0
33.5|002083|0
33.50|002083|0
33.51|002083|0
33.52|002083|0
33.6|002083|0
33.9|002083|0
33.91|002083|0
33.92|002083|0
33.93|002083|0
33.98|002083|0
33.99|002083|0
34|002083|0
34.0|002083|0
34.01|002083|0
34.02|002083|0
34.03|002083|0
34.04|002083|0
34.05|002083|0
34.09|002083|0
34.1|002083|0
34.2|002083|0
34.21|002083|0
34.22|002083|0
34.23|002083|0
34.24|002083|0
34.25|002083|0
34.26|002083|0
34.27|002083|0
34.28|002083|0
34.29|002083|0
34.3|002083|0
34.4|002083|0
34.5|002083|0
34.51|002083|0
34.59|002083|0
34.6|002083|0
34.7|002083|0
34.71|002083|0
34.72|002083|0
34.73|002083|0
34.74|002083|0
34.79|002083|0
34.8|002083|0
34.81|002083|0
34.82|002083|0
34.83|002083|0
34.84|002083|0
34.85|002083|0
34.89|002083|0
34.9|002083|0
34.91|002083|0
34.92|002083|0
34.93|002083|0
34.99|002083|0
35|002083|0
35.0|002083|0
35.00|002083|0
35.01|002083|0
35.02|002083|0
35.03|002083|0
35.04|002083|0
35.1|002083|0
35.10|002083|0
35.11|002083|0
35.12|002083|0
35.13|002083|0
35.14|002083|0
35.2|002083|0
35.20|002083|0
35.21|002083|0
35.22|002083|0
35.23|002083|0
35.24|002083|0
35.25|002083|0
35.26|002083|0
35.27|002083|0
35.28|002083|0
35.3|002083|0
35.31|002083|0
35.32|002083|0
35.33|002083|0
35.34|002083|0
35.35|002083|0
35.39|002083|0
35.4|002083|0
35.41|002083|0
35.42|002083|0
35.5|002083|0
35.50|002083|0
35.51|002083|0
35.52|002083|0
35.53|002083|0
35.54|002083|0
35.6|002083|0
35.60|002083|0
35.61|002083|0
35.62|002083|0
35.63|002083|0
35.7|002083|0
35.70|002083|0
35.71|002083|0
35.72|002083|0
35.73|002083|0
35.8|002083|0
35.81|002083|0
35.82|002083|0
35.83|002083|0
35.84|002083|0
35.9|002083|0
35.91|002083|0
35.92|002083|0
35.93|002083|0
35.94|002083|0
35.95|002083|0
35.96|002083|0
35.98|002083|0
35.99|002083|0
36|002083|0
36.0|002083|0
36.01|002083|0
36.02|002083|0
36.03|002083|0
36.04|002083|0
36.05|002083|0
36.09|002083|0
36.1|002083|0
36.10|002083|0
36.11|002083|0
36.12|002083|0
36.13|002083|0
36.14|002083|0
36.15|002083|0
36.16|002083|0
36.17|002083|0
36.19|002083|0
36.2|002083|0
36.3|002083|0
36.31|002083|0
36.32|002083|0
36.39|002083|0
36.9|002083|0
36.91|002083|0
36.99|002083|0
37|002083|0
37.0|002083|0
37.1|002083|0
37.10|002083|0
37.11|002083|0
37.12|002083|0
37.2|002083|0
37.21|002083|0
37.22|002083|0
37.23|002083|0
37.24|002083|0
37.25|002083|0
37.26|002083|0
37.27|002083|0
37.28|002083|0
37.29|002083|0
37.3|002083|0
37.31|002083|0
37.32|002083|0
37.33|002083|0
37.34|002083|0
37.35|002083|0
37.4|002083|0
37.5|002083|0
37.6|002083|0
37.61|002083|0
37.62|002083|0
37.63|002083|0
37.64|002083|0
37.65|002083|0
37.66|002083|0
37.67|002083|0
37.7|002083|0
37.70|002083|0
37.71|002083|0
37.72|002083|0
37.73|002083|0
37.74|002083|0
37.75|002083|0
37.76|002083|0
37.77|002083|0
37.78|002083|0
37.79|002083|0
37.8|002083|0
37.80|002083|0
37.81|002083|0
37.82|002083|0
37.83|002083|0
37.85|002083|0
37.86|002083|0
37.87|002083|0
37.89|002083|0
37.9|002083|0
37.91|002083|0
37.92|002083|0
37.93|002083|0
37.94|002083|0
37.95|002083|0
37.96|002083|0
37.97|002083|0
37.98|002083|0
37.99|002083|0
38|002083|0
38.0|002083|0
38.00|002083|0
38.01|002083|0
38.02|002083|0
38.03|002083|0
38.04|002083|0
38.05|002083|0
38.06|002083|0
38.07|002083|0
38.08|002083|0
38.09|002083|0
38.1|002083|0
38.10|002083|0
38.11|002083|0
38.12|002083|0
38.13|002083|0
38.14|002083|0
38.15|002083|0
38.16|002083|0
38.18|002083|0
38.2|002083|0
38.21|002083|0
38.22|002083|0
38.29|002083|0
38.3|002083|0
38.30|002083|0
38.31|002083|0
38.32|002083|0
38.33|002083|0
38.34|002083|0
38.35|002083|0
38.36|002083|0
38.37|002083|0
38.38|002083|0
38.39|002083|0
38.4|002083|0
38.40|002083|0
38.41|002083|0
38.42|002083|0
38.43|002083|0
38.44|002083|0
38.45|002083|0
38.46|002083|0
38.47|002083|0
38.48|002083|0
38.49|002083|0
38.5|002083|0
38.50|002083|0
38.51|002083|0
38.52|002083|0
38.53|002083|0
38.55|002083|0
38.57|002083|0
38.59|002083|0
38.6|002083|0
38.60|002083|0
38.61|002083|0
38.62|002083|0
38.63|002083|0
38.64|002083|0
38.65|002083|0
38.66|002083|0
38.67|002083|0
38.68|002083|0
38.69|002083|0
38.7|002083|0
38.8|002083|0
38.80|002083|0
38.81|002083|0
38.82|002083|0
38.83|002083|0
38.84|002083|0
38.85|002083|0
38.86|002083|0
38.87|002083|0
38.88|002083|0
38.89|002083|0
38.9|002083|0
38.91|002083|0
38.92|002083|0
38.93|002083|0
38.94|002083|0
38.95|002083|0
38.98|002083|0
38.99|002083|0
39|002083|0
39.0|002083|0
39.1|002083|0
39.2|002083|0
39.21|002083|0
39.22|002083|0
39.23|002083|0
39.24|002083|0
39.25|002083|0
39.26|002083|0
39.27|002083|0
39.28|002083|0
39.29|002083|0
39.3|002083|0
39.30|002083|0
39.31|002083|0
